participant_id,lpd_baseline,rpd_baseline,lpd_std,rpd_std,baseline_records
20,10.747068891265597,8.82449196227784,0.8316314034681029,0.783500365412012,3069
21,13.602352847626978,13.498578750692522,0.5567966134501209,0.8178644830493286,3969
23,13.107437842227377,13.645407000580718,1.0328195846278367,1.0479729220650233,3755
22,10.456505019899177,9.672747691897653,1.376803091747218,1.304874380700978,3959
26,13.276705582635186,11.679972611996963,0.9946145730501663,0.824740910897609,1439
27,12.026790270817516,10.951168947231608,1.28608240907935,0.9486677009549839,4310
19,15.819139664392907,15.385421186951755,1.00516050623729,1.0097132170533247,4030
25,9.646654630427578,9.846175650741351,0.7810898608352348,0.8173429049156071,3341
24,12.68099480620155,10.893988433981576,1.0649241998442016,0.923248381708362,4298
18,12.265575345073774,10.421978576520912,1.2162959415892702,1.0219729623531548,4514
9,8.286375169082126,9.69389507554945,0.920281590294659,0.9016881292403596,3171
2,20.253724886473428,19.942123405017917,1.6793808214033747,1.545098648763099,4489
3,14.857663223325062,15.880310622365483,2.0096127708212124,1.9467842414734584,4388
1,10.439744833232263,11.049506201269265,0.5140534899704419,0.6398128780413397,3646
4,14.649927752618174,14.949005975400457,1.5790858388178712,1.8419873751297584,3813
5,14.075619383151215,14.87669510014306,0.9973908923214772,0.6761359058025055,3055
7,10.560442322946175,9.585889157383605,1.2455467901852209,1.0965382120056366,3854
6,10.92171225613079,11.070894112817797,1.088299791959805,1.9170411004960501,3951
15,11.432411337243403,11.207228740068105,0.7322793707795798,0.7070402716498528,1899
14,11.671268554244211,13.040493775758918,0.6814810462118118,0.6665255448105066,4828
16,14.885733490073145,16.08188932806324,1.840363619466563,1.1083708637791245,4085
17,11.199332146248812,10.508130730769231,1.1771229474047287,0.7460433355935085,1168
13,9.212143217259653,7.6893774508320725,0.5569403910747314,0.7336865728055456,1475
12,12.271884527927417,12.809691975449613,1.192096972093944,1.0666146900546405,3742
10,11.775951543180746,10.378186826945964,1.0176118619135108,0.8741917759750055,4605
11,10.283149192025183,8.122932343268243,0.9078304152083652,0.7445142819095835,1091
